Nama Sukuk,Nilai Nominal,Interest/ Disc rate,Listing Date,Mature Date
SUKUK IJARAH BERKELANJUTAN III INDOSAT TAHAP II TAHUN 2019 SERI D,"20,000,000,000",10.0,24 Jul 2019,23 Jul 2029
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP I TAHUN 2018 SERI B,"150,000,000,000",8.35,11 Jul 2018,10 Jul 2025
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP I TAHUN 2018 SERI C,"258,000,000,000",8.4,11 Jul 2018,10 Jul 2028
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP I TAHUN 2018 SERI D,"105,000,000,000",8.9,11 Jul 2018,10 Jul 2033
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP I TAHUN 2018 SERI E,"110,000,000,000",9.0,11 Jul 2018,10 Jul 2038
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP II TAHUN 2018 SERI B,"45,000,000,000",9.0,11 Oct 2018,10 Oct 2025
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP II TAHUN 2018 SERI C,"15,000,000,000",9.1,11 Oct 2018,10 Oct 2028
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP II TAHUN 2018 SERI D,"50,000,000,000",9.65,11 Oct 2018,10 Oct 2038
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI C,"204,000,000,000",9.35,20 Feb 2019,16 Feb 2026
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI D,"45,000,000,000",9.6,20 Feb 2019,19 Feb 2029
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI E,"60,000,000,000",9.8,20 Feb 2019,19 Feb 2034
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI F,"28,000,000,000",9.95,20 Feb 2019,19 Feb 2039
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI A,"274,000,000,000",8.0,2 Aug 2019,1 Aug 2024
